run_id,run_name,state,pretrained_model,tm_weight,model_type,max_context_utterances,batch_size,num_epochs,learning_rate,val_f1,val_accuracy,val_loss,train_loss,top_k_acc_3,val_cumulative70_pred_accuracy_plus_true,mean_js_divergence,epoch,class_macro_avg_f1,class_weighted_avg_f1
862xje6t,380_full_categories_gbert_large_phase_full_transition_loss_ctx_12_model_type_bert_tm_weight_0.0_v7_fold1,finished,gbert_large,0.0,bert,,,,,0.016763925675745774,0.095839915745129,3.653896721204122,3.666152845729481,0.21116377040547657,0.6893101632438126,0.19185996067101083,4.0,0.003015791479560556,0.016763925675745774
ejybnar0,380_full_categories_gbert_base_phase_label_smoothing_ls_0.0_model_type_bert_v0_fold0,finished,gbert_base,0.0,bert,,,,,0.14229160812917724,0.17587939698492464,3.3286210128239224,2.4851042079925536,0.353129282777524,0.838282320694381,0.21048651457201015,10.0,0.09013922985278952,0.1477228776156539
5s55eety,380_full_categories_gbert_large_phase_full_transition_loss_ctx_4_model_type_history_tm_weight_1.0_v25_fold0,finished,gbert_large,1.0,history,,,,,0.16235187821326072,0.17999086340794884,3.899796152114868,2.0532592844963076,0.3490178163544998,0.9433531292827776,0.1100902384173696,10.0,0.10444288176634264,0.1776002823493299
0c7mht54,380_full_categories_Eurobert_210m_phase_label_smoothing_ls_0.2_model_type_bert_v2_fold2,finished,Eurobert_210m,0.0,bert,,,,,0.12468595595855088,0.13460519342872285,4.461309591929118,0.24464040364731443,0.2586115527291998,0.7286698463169051,0.3126386352855074,10.0,0.07435244703266243,0.12468595595855089
nbnggvfn,380_full_categories_Eurobert_610m_phase_full_transition_loss_ctx_4_model_type_history_tm_weight_1.5_v33_fold0,finished,Eurobert_610m,1.5,history,,,,,0.15562375376735418,0.17770671539515762,3.7711006096431183,1.7058807301521302,0.3394243947007766,0.9858382823206944,0.04747573360756529,9.0,0.0999210048883255,0.1632417520423894
xallgnv2,380_full_categories_Eurobert_210m_phase_full_transition_loss_ctx_12_model_type_bert_tm_weight_1.5_v39_fold3,finished,Eurobert_210m,1.5,bert,,,,,0.15259973828400047,0.18451749734888653,3.835065650939941,1.761049701950767,0.3457051961823966,0.9846235418875928,0.04947915799919959,10.0,0.09787915726715107,0.1653645983526786
a6z6ll9q,380_full_categories_Eurobert_210m_phase_label_smoothing_ls_0.0_model_type_history_v3_fold2,finished,Eurobert_210m,0.0,history,,,,,0.09847071526133172,0.10916799152093268,4.148639782269796,0.2979840630834753,0.2294647588765236,0.688924218335983,0.2963011231622878,9.0,0.06552170888968215,0.10833529131556918
rzttjar3,380_full_categories_gbert_base_phase_label_smoothing_ls_0.1_model_type_bert_v1_fold0,finished,gbert_base,0.0,bert,,,,,0.150046650522489,0.1754225673823664,3.3642946447644917,2.373050012588501,0.33851073549566013,0.8414801279122888,0.2131777886048901,10.0,0.09539099139970839,0.1530967110772564
brk9hkqz,380_full_categories_Eurobert_210m_phase_label_smoothing_ls_0.0_model_type_bert_v0_fold4,finished,Eurobert_210m,0.0,bert,,,,,0.10370088271403018,0.12129760225669958,4.421913637834437,0.5699495456966699,0.25763986835919134,0.7367183826986365,0.29850467100598105,8.0,0.06658209990659503,0.1137203928898068
dcyihp72,380_full_categories_Eurobert_210m_phase_label_smoothing_ls_0.0_model_type_bert_v0_fold3,finished,Eurobert_210m,0.0,bert,,,,,0.12626690092579393,0.1420996818663839,4.6151035785675045,0.23117776187983427,0.2857900318133616,0.7348886532343585,0.33228913433352675,9.0,0.08445731073275892,0.1427234108336924
z586x23d,380_full_categories_gbert_large_phase_full_transition_loss_ctx_8_model_type_history_tm_weight_1.0_v26_fold0,finished,gbert_large,1.0,history,,,,,0.16209844806849352,0.1745089081772499,3.82977523122515,2.2745791149139403,0.34810415714938325,0.9502055733211512,0.11111971074126048,10.0,0.11375361665991042,0.17513828676698667
4u3ifhzr,380_full_categories_gbert_large_phase_full_transition_loss_ctx_12_model_type_history_tm_weight_0.0_v3_fold2,finished,gbert_large,0.0,history,,,,,0.13730177498176452,0.151033386327504,3.7893929799397785,1.600629355690696,0.2962374138844727,0.7244303126656068,0.28834786378546495,9.0,0.09170206546352444,0.14822663299824784
cnwb3cep,380_full_categories_gbert_large_phase_full_transition_loss_ctx_1_model_type_history_tm_weight_0.2_v8_fold1,finished,gbert_large,0.2,history,,,,,0.13261067607732926,0.14481305950500264,4.026051608721415,1.6643806847659024,0.2975250131648236,0.841495523959979,0.2261278302873509,10.0,0.08842830419878614,0.15410668998225738
2983wnst,380_full_categories_Eurobert_610m_phase_full_transition_loss_ctx_8_model_type_history_tm_weight_1.5_v34_fold0,finished,Eurobert_610m,1.5,history,,,,,0.16032190196346327,0.18684330744632252,3.776122386114938,1.698515214920044,0.33851073549566013,0.9803563270899954,0.04639835680624772,10.0,0.10042698966937648,0.16471746746160906
726t9xrm,380_full_categories_Eurobert_210m_phase_label_smoothing_ls_0.1_model_type_bert_v1_fold4,finished,Eurobert_210m,0.0,bert,,,,,0.09554431384789726,0.11800658204043252,4.704565356759464,0.3550088516637391,0.2444757874941232,0.7268453220498354,0.32042145820477186,8.0,0.06684136775529748,0.11409061213148987
h12dk8b4,380_full_categories_Eurobert_210m_phase_label_smoothing_ls_0.1_model_type_bert_v1_fold3,finished,Eurobert_210m,0.0,bert,,,,,0.11391500775405228,0.14050901378579003,5.25097283522288,0.189283469861204,0.2815482502651113,0.7598091198303287,0.3619704937413988,10.0,0.0851048339075536,0.141857305784859
b24lzmmt,380_full_categories_gbert_large_phase_full_transition_loss_ctx_4_model_type_history_tm_weight_0.2_v9_fold1,finished,gbert_large,0.2,history,,,,,0.007270481058449206,0.06213796735123749,3.8110227902730305,3.833595189181241,0.2238020010531859,0.5376513954713007,0.18989362498657,4.0,0.005182018370091765,0.017437085412866964
ivcrfk57,380_full_categories_Eurobert_610m_phase_full_transition_loss_ctx_12_model_type_history_tm_weight_1.5_v35_fold0,finished,Eurobert_610m,1.5,history,,,,,0.12704443169078478,0.1626313385107355,3.813413497379848,3.4108041095733643,0.3312014618547282,0.9748743718592964,0.0833164848656184,10.0,0.07131604390754918,0.12704443169078478
dl3r6lbz,380_full_categories_Eurobert_210m_phase_label_smoothing_ls_0.1_model_type_history_v4_fold2,finished,Eurobert_210m,0.0,history,,,,,0.12045057936244688,0.13354531001589826,3.9712106466293338,0.29531924074346366,0.26126126126126126,0.7440381558028617,0.27465292649670825,10.0,0.0712522286728018,0.12489218055292638
5fzcqnlz,380_full_categories_gbert_base_phase_label_smoothing_ls_0.2_model_type_bert_v2_fold0,finished,gbert_base,0.0,bert,,,,,0.14656687626490322,0.17496573777980814,3.325094788415091,2.4490937185287476,0.3508451347647328,0.8355413430790315,0.20971155208240105,10.0,0.0920616724485742,0.14657110632013148
e2dd802h,380_full_categories_gbert_large_phase_full_transition_loss_ctx_1_model_type_bert_tm_weight_0.0_v4_fold2,finished,gbert_large,0.0,bert,,,,,0.11999005410939607,0.13513513513513514,4.093686914443969,1.2447708866812963,0.2649708532061473,0.8288288288288288,0.2678584482662577,10.0,0.07189464705275204,0.1271784358660286
ne88ssuc,380_full_categories_gbert_base_phase_label_smoothing_ls_0.0_model_type_history_v3_fold0,finished,gbert_base,0.0,history,,,,,0.14284673225688227,0.1667428049337597,3.4104036739894323,2.324789462089538,0.32571950662402926,0.7624486066697121,0.24265724945070857,10.0,0.09243177684282164,0.1475353423944784
